county,Ben Carson,Carly Fiorina,Chris Christie,Donald J. Trump,George Pataki,Jeb Bush,Jim Gilmore,John R. Kasich,Lindsey O. Graham,Marco Rubio,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz,Uncommitted
Anderson,862,15,12,4298,5,122,2,563,4,2340,30,24,10,2450,14
Bedford,475,3,5,3081,0,39,5,200,2,821,13,8,4,1654,10
Benton,123,0,1,1154,0,15,1,73,1,278,4,2,0,569,3
Bledsoe,166,1,3,1009,0,18,1,56,2,285,10,4,4,487,4
Blount,1729,22,26,8009,8,284,12,1170,4,5067,61,48,18,4721,38
Bradley,1719,20,12,6103,2,192,5,790,7,4066,73,28,11,3625,23
Campbell,289,3,6,2198,0,35,0,146,1,705,7,4,3,831,6
Cannon,159,3,8,1244,0,17,0,50,0,195,4,2,2,657,8
Carroll,313,0,3,1579,0,36,2,146,2,573,14,4,3,967,10
Carter,699,7,18,4266,2,104,5,314,7,1757,45,14,7,2352,19
Cheatham,419,2,2,2530,2,40,2,211,2,848,9,11,5,1624,4
Chester,319,0,2,1023,1,28,4,63,0,379,9,2,2,651,3
Claiborne,200,5,6,2022,0,29,4,118,2,540,15,8,1,802,5
Clay,66,0,3,600,0,7,2,37,0,146,0,6,1,180,2
Cocke,356,9,11,3200,0,87,1,207,3,765,49,15,7,1296,31
Coffee,702,7,10,3516,1,78,1,391,1,1307,13,18,5,2194,32
Crockett,189,1,4,995,0,26,0,54,1,275,6,5,0,538,0
Cumberland,791,9,22,5152,5,152,5,667,1,1972,39,22,9,3064,28
Davidson,3627,50,52,17082,6,806,9,4865,7,16161,83,170,34,12115,114
Decatur,110,1,4,842,0,13,0,46,0,199,5,2,2,367,3
DeKalb,175,3,3,1240,1,10,2,88,3,344,9,10,3,600,3
Dickson,520,4,6,2730,1,53,3,198,3,924,11,8,2,1764,9
Dyer,361,7,3,2400,0,45,1,136,1,812,22,6,1,1268,4
Fayette,430,2,4,2879,2,42,3,210,5,1121,26,15,1,2520,4
Fentress,147,3,4,1418,0,22,1,73,0,324,18,1,1,900,7
Franklin,556,3,7,3072,3,53,2,261,3,948,19,8,4,1448,8
Gibson,762,1,16,2878,2,45,3,218,4,1014,16,12,5,1911,8
Giles,273,3,4,1910,0,31,1,95,1,527,17,6,2,899,6
Grainger,171,7,7,1767,2,53,2,111,0,557,13,7,4,794,10
Greene,860,10,26,5016,2,162,4,442,3,1845,47,34,13,2569,21
Grundy,141,0,3,912,0,16,2,30,1,133,7,2,2,382,2
Hamblen,827,9,20,4690,10,161,11,492,7,1954,68,29,5,2231,56
Hamilton,5075,33,165,16985,13,566,4,3641,14,14391,97,596,210,9625,161
Hancock,40,0,1,433,0,14,1,32,0,150,1,2,0,208,1
Hardeman,216,3,2,1170,1,19,0,58,1,315,11,1,3,571,3
Hardin,283,3,2,2094,0,43,0,161,0,597,16,1,4,629,3
Hawkins,572,12,11,4426,0,133,2,361,2,1460,77,18,6,2056,31
Haywood,106,0,4,613,3,17,0,55,0,224,6,2,0,475,0
Henderson,363,5,3,1836,1,49,3,141,2,571,15,6,4,965,3
Henry,370,10,19,2672,4,70,3,258,1,751,27,13,1,1222,40
Hickman,210,2,4,1325,0,23,0,69,3,331,9,3,3,836,1
Houston,67,3,2,523,1,6,0,26,0,159,0,1,1,231,1
Humphreys,173,3,1,1218,0,25,3,62,1,328,3,3,3,533,1
Jackson,92,0,5,713,0,8,0,54,0,192,6,2,0,450,2
Jefferson,664,18,13,4050,0,161,11,408,3,1579,40,22,8,2005,29
Johnson,169,2,6,1306,3,29,3,102,0,452,13,5,3,740,4
Knox,4772,88,130,20985,30,1137,25,5035,36,18319,180,212,49,13571,261
Lake,45,1,0,326,1,1,0,7,0,72,1,0,1,125,0
Lauderdale,161,1,9,1111,1,21,0,64,0,304,12,3,0,638,3
Lawrence,395,0,9,2883,3,39,1,146,1,689,35,10,6,1567,13
Lewis,125,3,4,809,0,12,0,27,1,176,2,5,0,429,4
Lincoln,489,5,6,2656,0,45,1,160,1,850,4,9,5,1262,6
Loudon,672,17,17,4198,1,141,6,780,2,2309,42,22,9,2197,20
Macon,185,2,3,1757,2,35,1,46,0,283,12,7,1,743,2
Madison,1095,7,18,4117,3,122,4,511,4,2513,27,22,8,3555,21
Marion,271,6,8,1799,0,31,5,141,0,586,11,8,4,690,6
Marshall,296,2,1,1858,1,14,1,125,3,503,10,11,0,992,3
Maury,945,11,5,4655,1,86,0,415,2,2043,16,18,8,3514,13
McMinn,743,11,15,3604,0,134,4,389,5,1551,33,19,9,2000,34
McNairy,385,2,6,1822,0,25,2,109,0,581,28,11,1,782,2
Meigs,122,1,6,946,1,15,0,81,2,289,14,6,1,334,2
Monroe,619,7,24,4079,3,208,7,316,5,1333,60,31,5,1796,55
Montgomery,1336,26,41,6512,5,335,6,944,15,3619,57,67,13,4242,75
Moore,149,0,0,687,0,8,0,53,2,157,1,3,0,403,0
Morgan,176,1,4,1230,2,25,2,64,0,342,2,6,1,692,5
Obion,341,4,3,1908,0,26,0,129,0,607,11,7,7,1437,6
Overton,225,3,8,1582,0,22,2,86,1,455,11,10,3,929,15
Perry,51,2,1,542,0,7,0,30,0,130,1,3,0,216,1
Pickett,90,0,0,594,0,24,0,47,0,143,4,1,0,277,7
Polk,157,3,0,1180,0,8,0,72,0,311,10,1,2,492,5
Putnam,999,5,11,4187,3,70,1,464,3,1899,31,15,5,2938,9
Rhea,448,5,10,2339,1,90,2,197,1,1020,28,12,6,1127,23
Roane,660,6,13,3634,1,101,3,413,1,1629,22,11,6,2044,23
Robertson,820,4,12,4077,3,70,3,278,1,1566,12,12,3,3013,9
Rutherford,3071,26,38,13229,4,371,4,1502,8,7376,78,107,10,10980,54
Scott,134,3,1,1090,0,17,1,76,1,405,11,4,2,509,11
Sequatchie,199,1,5,1046,0,12,0,66,1,361,8,4,1,437,2
Sevier,1099,10,23,7686,4,174,3,634,4,3170,46,30,13,3471,49
Shelby,4092,44,79,20715,12,651,20,5187,18,18248,138,135,37,19727,97
Smith,233,1,3,1418,1,23,1,64,1,316,13,5,2,866,6
Stewart,130,0,3,953,0,15,1,63,1,301,3,3,2,443,4
Sullivan,1738,18,34,8839,1,263,6,1176,8,4583,53,52,17,6149,28
Sumner,2286,12,23,9708,5,202,5,1175,4,5161,58,53,8,7583,42
Tipton,534,4,14,3618,1,42,2,224,2,1238,26,12,1,2693,4
Trousdale,63,1,2,453,0,4,0,23,2,91,2,1,0,281,1
Unicoi,238,7,5,1813,1,52,3,128,1,614,21,8,3,676,20
Union,147,1,5,1311,1,10,3,55,0,337,11,8,2,535,3
Van Buren,69,0,0,493,0,4,2,13,0,90,0,0,0,225,0
Warren,354,4,8,2273,1,45,0,142,0,792,10,7,2,1184,8
Washington,1506,11,26,6953,2,199,10,1059,5,4434,62,42,12,4771,35
Wayne,158,0,2,1159,0,23,0,50,0,261,6,3,1,530,1
Weakley,383,1,9,1764,2,37,1,143,1,694,18,10,2,1210,8
White,307,2,3,2092,2,25,2,95,0,497,13,9,3,1041,6
Williamson,2758,34,35,11384,8,363,1,3285,5,13069,41,68,13,10517,36
Wilson,1648,10,21,8570,1,180,2,1020,4,4060,40,36,12,6425,36
Totals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
